REGION,STATE,CITY,POPULATION
Midwest,Missouri,"Eminence, MO",584
Pacific,Oregon,"Arlington, OR",583
Midwest,Iowa,"Ainsworth, IA",580
Midwest,South Dakota,"Corsica, SD",580
Midwest,Iowa,"Dexter, IA",575
Midwest,Missouri,"Arcadia, MO",575
Midwest,Missouri,"Glenaire, MO",573
Midwest,Missouri,"Foristell, MO",571
Pacific,Alaska,"Kake, AK",569
South,Arkansas,"De Valls Bluff, AR",569
Pacific,Alaska,"Stebbins, AK",565
Midwest,Iowa,"Richland, IA",565
South,Texas,"Newcastle, TX",565
South,Texas,"Deport, TX",563
Midwest,Kansas,"White City, KS",562
Mountain,Idaho,"Clark Fork, ID",561
Pacific,Alaska,"St. Mary's, AK",559
South,Georgia,"Dudley, GA",559
Midwest,Missouri,"Beverly Hills, MO",559
Midwest,South Dakota,"Lake Preston, SD",559
South,Arkansas,"Holland, AR",554
Midwest,North Dakota,"Pembina, ND",554
South,Georgia,"Irwinton, GA",553
Midwest,Nebraska,"Indianola, NE",552
Midwest,Iowa,"Rolfe, IA",549
Midwest,Kansas,"Waverly, KS",549
Pacific,Alaska,"Fort Yukon, AK",547
Midwest,Iowa,"Sabula, IA",547
Midwest,Kansas,"Logan, KS",547
Midwest,North Dakota,"Towner, ND",545
South,Texas,"New Berlin, TX",543
Midwest,Kansas,"Milford, KS",542
Midwest,Minnesota,"Claremont, MN",542
Midwest,Missouri,"Polo, MO",541
Pacific,Alaska,"Aniak, AK",540
South,Arkansas,"Sulphur Springs, AR",540
Midwest,Kansas,"LeRoy, KS",540
South,Texas,"Grey Forest, TX",540
South,Arkansas,"Holly Grove, AR",539
South,Arkansas,"Traskwood, AR",539
Midwest,North Dakota,"Richardton, ND",538
South,Kentucky,"Frenchburg, KY",537
Mountain,Idaho,"Melba, ID",533
South,Texas,"Winfield, TX",532
Midwest,Kansas,"Winchester, KS",531
South,Arkansas,"Norfork, AR",529
Midwest,Kansas,"Burden, KS",528
South,Arkansas,"Elaine, AR",527
Midwest,Iowa,"Norway, IA",526
South,Tennessee,"Berry Hill, TN",526
Pacific,Alaska,"Nunapitchuk, AK",521
Midwest,Missouri,"Dearborn, MO",521
Midwest,Iowa,"Runnells, IA",520
South,Tennessee,"Baneberry, TN",519
South,Texas,"Liverpool, TX",519
Mountain,Idaho,"Paris, ID",517
Midwest,Missouri,"Bland, MO",516
Midwest,Kansas,"Clifton, KS",515
Midwest,North Dakota,"Forman, ND",514
Midwest,South Dakota,"Presho, SD",512
Midwest,Iowa,"New Albin, IA",510
