NAME,STATE,POPULATION
Spokane Valley city,Washington,97847
Orem city,Utah,97839
Compton city,California,97612
Beaverton city,Oregon,97514
Erie city,Pennsylvania,97369
Lee's Summit city,Missouri,97290
Lawrence city,Kansas,96892
Federal Way city,Washington,96690
Flint city,Michigan,96448
San Marcos city,California,96198
Rio Rancho city,New Mexico,96159
Sandy city,Utah,96145
Mission Viejo city,California,96016
Brockton city,Massachusetts,95672
Yuma city,Arizona,95502
South Gate city,California,95430
New Bedford city,Massachusetts,95120
Hesperia city,California,94859
Roswell city,Georgia,94786
Portsmouth city,Virginia,94572
Bend city,Oregon,94520
Dearborn city,Michigan,94491
Longmont city,Colorado,94341
Sunrise city,Florida,94323
Quincy city,Massachusetts,94166
Livonia city,Michigan,94105
Lynn city,Massachusetts,94063
Plantation city,Florida,93909
Lawton city,Oklahoma,93714
Yakima city,Washington,93667
Nampa city,Idaho,93590
Chico city,California,93293
Carson city,California,92735
Miami Beach city,Florida,92307
Santa Monica city,California,92306
Carmel city,Indiana,92198
Greenville city,North Carolina,92156
Santa Barbara city,California,92101
Concord city,North Carolina,92067
Edmond city,Oklahoma,91950
Asheville city,North Carolina,91902
Fishers city,Indiana,91832
Redding city,California,91794
Westminster city,California,91564
Tracy city,California,90889
Deltona city,Florida,90746
Menifee city,California,90595
San Leandro city,California,90553
Livermore city,California,90295
Edinburg city,Texas,90280
Suffolk city,Virginia,90237
Chino city,California,89797
Indio city,California,89793
Fall River city,Massachusetts,89420
Bellingham city,Washington,89045
Norwalk city,Connecticut,89005
Newton city,Massachusetts,88994
Kirkland city,Washington,88630
Sugar Land city,Texas,88485
Reading city,Pennsylvania,88423
Nashua city,New Hampshire,88341
Fort Smith city,Arkansas,88037
Citrus Heights city,California,87931
Hawthorne city,California,87854
Waukegan city,Illinois,87729
O'Fallon city,Missouri,87597
Champaign city,Illinois,87432
Ogden city,Utah,87031
Whittier city,California,86838
Redwood City city,California,86685
Clifton city,New Jersey,86607
Palm Coast city,Florida,86516
Newport Beach city,California,86160
Duluth city,Minnesota,86066
Bloomington city,Minnesota,85866
Alhambra city,California,85396
Fayetteville city,Arkansas,85257
Danbury city,Connecticut,85246
Hemet city,California,85160
Bloomington city,Indiana,85071
Trenton city,New Jersey,84964
Hoover city,Alabama,84920
Largo city,Florida,84754
Mission city,Texas,84424
St. George city,Utah,84405
Conroe city,Texas,84378
Johns Creek city,Georgia,84350
Lake Forest city,California,84293
Avondale city,Arizona,84025
Bryan city,Texas,84021
Troy city,Michigan,83813
Santa Fe city,New Mexico,83776
Merced city,California,83081
Buena Park city,California,83015
Pleasanton city,California,83007
Sioux City city,Iowa,82514
Melbourne city,Florida,82011
Medford city,Oregon,81780
Westland city,Michigan,81747
Kennewick city,Washington,81607
Longview city,Texas,81522
Mountain View city,California,81438
Somerville city,Massachusetts,81360
Cranston city,Rhode Island,81202
Farmington Hills city,Michigan,81050
Lynchburg city,Virginia,80995
Lakewood city,California,80967
Warwick city,Rhode Island,80871
Auburn city,Washington,80776
Brooklyn Park city,Minnesota,80581
Deerfield Beach city,Florida,80571
Tustin city,California,80498
Chino Hills city,California,80374
Lawrence city,Massachusetts,80162
New Rochelle city,New York,79946
Fort Myers city,Florida,79943
Goodyear city,Arizona,79858
Napa city,California,79774
Springdale city,Arkansas,79599
